id;nombre;anio;idCarrera;idProfesor
1;PEDAGOGIA;1;4;0
2;FILOSOFIA;1;4;0
3;PSICOLOGIA EDUCACIONAL;1;4;0
4;HISTORIA Y POLITICA DE LA EDUCACION ARGENTINA;1;4;0
5;LENGUA Y LITERATURA;1;4;0
6;MATEMATICA;1;4;0
7;CIENCIAS SOCIALES;1;4;0
8;CIENCIAS NATURALES;1;4;0
9;PRACTICA, CULTURA Y CONTEXTOS INSTITUCIONALES;1;4;0
10;EDI I;1;4;0
11;OPCIONAL I;1;4;0
12;ESTADISTICA GENERAL;2;4;0
13;TIC;2;4;0
14;SUJETO DE NIVEL PRIMARIO;2;4;0
15;ALFABETIZACION INICIAL;2;4;0
16;LENGUA Y LITERATURA Y SU ENSE헤NZA;2;4;0
17;MATEMATICA Y SU ENSE헤NZA I;2;4;0
18;CIENCIAS NATURALES Y SU ENSE헤NZA I;2;4;0
19;CIENCIAS SOCIALES Y SU ENSE헤NZA I;2;4;0
20;EDUCACION FISICA DE NIVEL PRIMARIO;2;4;0
21;PRACTICA II ESCENARIO DE LA PRACTICA DOCENTE;2;4;0
22;ESI;3;4;0
23;SOCIOLOGIA DE LA EDUCACION;3;4;0
24;LENGUA Y LITERATURA Y SU ENSE헤NZA II;3;4;0
25;MATEMATICA Y SU ENSE헤NZA II;3;4;0
26;CIENCIAS NATURALES Y SU ENSE헤NZA II;3;4;0
27;CIENCIAS SOCIALES Y SU ENSE헤NZA II;3;4;0
28;PRACTICA DE LA ENSE헤NZA;3;4;0
29;EDI III;3;4;0
30;FORMACION ETICA Y LA CONSTRUCCION DE CIUDADANIA;4;4;0
31;SISTEMATIZACION DE EXPERIENCIAS;4;4;0
32;ATENEO DE LENGUA Y LITERATURA;4;4;0
33;ATENEO DE MATEMATICA;4;4;0
34;ATENEO DE CIENCIAS SOCIALES;4;4;0
35;ATENEO DE CIENCIAS NATURALES;4;4;0
36;RESIDENCIA PEDAGOGICA;4;4;0
37;EDI IV;4;4;0
38;LENGUAJE Y PRODUCCION DEL DISCURSO I;1;3;0
39;INFORMATICA;1;3;0
40;TALLER DE TECNICAS PRODUCCION DINAMICAS DE GRUPO;1;3;0
41;PSICOLOGIA GENERAL;1;3;0
42;LA PROBLEMATICA EDUCATIVA CONTEMPORANEA;1;3;0
43;SEMINARIO TALLER I;1;3;0
44;ANTROPOLOGIA SOCIO-CULTURAL;1;3;0
45;SISTEMA EDUCATIVO E INSTITUCIONES ESCOLARES;1;3;0
46;PRACTICA DE CAMPO I;1;3;0
47;LENGUAJE Y PRODUCCION DEL DISCURSO II;2;3;0
48;ESTADISTICA;2;3;0
49;TALLER DE PLANIFICACION DE LAS TAREAS DEL PRECEPTO;2;3;0
50;PSICOLOGIA DE LA ADOLESCENCIA;2;3;0
51;PEDAGOG페 SOCIAL Y APRENDIZAJE;2;3;0
52;SEMINARIO TALLER II;2;3;0
53;ORGANIZACION Y LEGISLACION ESCOLAR;2;3;0
54;PRACTICA DE CAMPO II;2;3;0
55;TECNOLOGIA DE LA INFORMACION Y COMUNICACION;3;3;0
56;PROYECTO DE INVESTIGACION E INTERVENCION SOCIO CULTURAL;3;3;0
57;ARTE ESTETICA Y SOCIEDAD;3;3;0
58;TUTORIA Y MEDIACION ESCOLAR;3;3;0
59;ETICA Y DEONTOLOGIA PROFESIONAL;3;3;0
60;PRACTICA DE CAMPO III;3;3;0
61;SEMINARIO DE SISTEMATIZACION DE EXPERIENCIAS;3;3;0
62;COMUNICACION Y PRODUCCION DEL DISCURSO;1;2;0
63;INFORMATICA;1;2;0
64;MATEMATICA;1;2;0
65;DERECHO CIVIL I;1;2;0
66;CONTABILIDAD I;1;2;0
67;ELEMENTOS DE ECONOMIA;1;2;0
68;INTRODUCCION A LA ADMINISTRACION;1;2;0
69;PRACTICA PROFESIONALIZANTE I;1;2;0
70;MATEMATICA II;2;2;0
71;TALLER DE IDIOMA INGLES TECNICO;2;2;0
72;DERECHO CIVIL II;2;2;0
73;CONTABILIDAD II;2;2;0
74;ECONOMIA;2;2;0
75;ADMINISTRACION DE PERSONAL;2;2;0
76;INFORMATICA APLICADA A LOS SISTEMAS DE INFORMACION;2;2;0
77;PRACTICA PROFESIONALIZANTE II;2;2;0
78;ETICA Y DEONTOLOGIA DEONTOLOGIA PROFESIONAL;3;2;0
79;ESTADISTICA APLICADA;3;2;0
80;RELACIONES LABORALES Y  SEGURIDAD SOCIAL;3;2;0
81;COSTOS Y PRESUPUESTOS;3;2;0
82;FINANZAS PUBLICAS E IMPUESTOS;3;2;0
83;PROYECTO Y GESTION DE MICROEMPRENDIMIENTOS;3;2;0
84;COMERCIALIZACION;3;2;0
85;PRACTICA PROFESIONALIZANTE III;3;2;0
86;MATEMATICA I;1;1;0
87;PROGRAMACION I;1;1;0
88;SISTEMA DE PROCESAMIENTO DE DATOS I;1;1;0
89;FILOSOFIA DE LA CIENCIA Y DE LA TECNICA;1;1;0
90;INGLES TECNICO;1;1;0
91;TALLER;1;1;0
92;PROGRAMACION II;2;1;0
93;PROGRAMACION CIENTIFICA;2;1;0
94;MATEMATICA Y METODO NUMERICO II;2;1;0
95;LENGUAJE GENERADOR DE INFORMES;2;1;0
96;SISTEMA DE PROCESAMIENTO DE DATOS II;2;1;0
97;SISTEMAS ADMINISTRATIVOS II;2;1;0
98;TECNICAS DE PROGRAMACION;2;1;0
99;MATEMATICA APLICADA;3;1;0
100;ETICA Y DEONTOLOGIA PROFESIONAL;3;1;0
101;SISTEMAS ADMINISTRATIVOS II;3;1;0
102;MINICOMPUTADORAS;3;1;0
103;SEMINARIO;3;1;0
104;INVESTIGACON OPERATIVA;3;1;0
